Headline,Is_sarcastic
Judge Rejects White House Demand To Block John Bolton's New Book,0
Florida Governor Ripped For Trying To Pin COVID-19 Spike On Hispanic Workers,0
3 Congressional Races To Watch In New York's Democratic Primary,0
The Coronavirus Pandemic Doesn't Care That We're All Bored With It,0
Who Owns A River? The Question Is Tearing This Community Apart,0
Public Enemy Tells 'Dictator' Trump To ‘Shut The F**k Up' In Explosive New Song,0
"If You Still Don't Get Why COVID-19 Hit Black People Harder, Read This",0
Trump Sets The Stage For Mayhem At Tulsa Rally,0
Melania Trump Posts Juneteenth Tweet And Gets Reminded Of 'Birther' Past,0
Mick Mulvaney Spectacularly Self-Owns With His 'One Criticism' Of Donald Trump,0
Tulsa Health Official Has A Stark Wake-Up Call For People Attending Trump Rally,0
What Reforming Police Unions Might Look Like,0
Robert E. Lee Statue Sleeps With The Fishes In Jim Carrey’s New Cartoon,0
Fox News' John Roberts Uses War Analogy To Describe Preparing For Trump Rally In Pandemic,0
Susan Rice Explains Exactly Why Trump's White House Is 'Racist To Its Core',0
Scathing Supercut Shows How Quickly Trump Flips On His Once Most Trusted Aides,0
"Trump's 'Racist' Toddler Video Removed By Facebook,Twitter After Parent Complains",0
"50 Years After MLK, Pastors Lead A New Poor People's March",0
"William Barr Says U.S. Attorney In Manhattan Is Resigning. U.S. Attorney Says No, He's Not.",0
US Attorney Who Oversaw Cases Of Trump Allies Steps Down,0
Trump Compared To Segregationist George Wallace In Scathing Republican Ad,0
"Pressed Repeatedly To Say ‘Black Lives Matter,’ Mike Pence Says ‘All Lives Matter’",0
Anthony Fauci Warned White House That Tulsa Rally Would Be Dangerous: Report,0
Twitter Users Give Trump's Tulsa Rally Another Name: 'Coronapalooza',0
GOP Candidate Says Black Democratic Opponent Is 'NOT For ALL Virginians',0
"Little Sign Of COVID Spike After Nationwide Protests, But Officials Remain Cautious",0
Thomas Jefferson Descendant Calls For Removal Of His Famous Ancestor's Statues,0
Juneteenth Will Be An Official Holiday In New York City Starting In 2021,0
The Real Looters Of The Bronx,0
Judge Doubts White House Can Keep Bolton Book Away From Public,0
Coloradans Are Getting Mysterious Texts Bashing Democratic Senate Candidate John Hickenlooper,0
Court Says Trump Rally Attendees Don't Have To Wear Masks,0
Navy Upholds Firing Of Carrier Captain In Virus Outbreak,0
Juneteenth Brings Anti-Racism Protesters Out From Coast To Coast,0
"TSA Worsened Coronavirus Pandemic, Whistleblower Says",0
"More Lawmakers, Including Republicans, Support A Juneteenth National Holiday",0
Donald Trump Vows To Keep Trying To End Dreamer Protections,0
Louisville Officer Is Being Fired 3 Months After Fatally Shooting Breonna Taylor,0
